"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","36","Verify Sum of Item Prices Matches The Total on The Checkout Overview Page","","Wed Aug 21 11:17:38 GMT 2024","passed","Wed Aug 21 11:17:38 GMT 2024","","PageObjectTest","PageObjectTest","Verify Sum of Item Prices Matches The Total on The Checkout Overview Page"
"","2675","Verify Required Fields on Checkout","","Wed Aug 21 11:17:35 GMT 2024","passed","Wed Aug 21 11:17:38 GMT 2024","","PageObjectTest","PageObjectTest","Verify Required Fields on Checkout"
"","3250","Remove Third Item from Cart","","Wed Aug 21 11:17:47 GMT 2024","passed","Wed Aug 21 11:17:50 GMT 2024","","SauceDemoTest","SauceDemoTest","Remove Third Item from Cart"
"","2784","Verify Required Fields on Checkout","","Wed Aug 21 11:17:50 GMT 2024","passed","Wed Aug 21 11:17:53 GMT 2024","","SauceDemoTest","SauceDemoTest","Verify Required Fields on Checkout"
"","830","Complete Checkout","","Wed Aug 21 11:17:38 GMT 2024","passed","Wed Aug 21 11:17:38 GMT 2024","","PageObjectTest","PageObjectTest","Complete Checkout"
"","121","Verify Total Amount Including Tax","","Wed Aug 21 11:17:38 GMT 2024","passed","Wed Aug 21 11:17:39 GMT 2024","","PageObjectTest","PageObjectTest","Verify Total Amount Including Tax"
"","3871","LoginTest","","Wed Aug 21 11:17:43 GMT 2024","passed","Wed Aug 21 11:17:46 GMT 2024","","SauceDemoTest","SauceDemoTest","LoginTest"
"","196","Remove Third Item from Cart","","Wed Aug 21 11:17:35 GMT 2024","passed","Wed Aug 21 11:17:35 GMT 2024","","PageObjectTest","PageObjectTest","Remove Third Item from Cart"
"","496","Adds the first three items to the cart and verifies the cart count","","Wed Aug 21 11:17:34 GMT 2024","passed","Wed Aug 21 11:17:35 GMT 2024","","PageObjectTest","PageObjectTest","Adds the first three items to the cart and verifies the cart count"
"","988","LoginTest","","Wed Aug 21 11:17:33 GMT 2024","passed","Wed Aug 21 11:17:34 GMT 2024","","PageObjectTest","PageObjectTest","LoginTest"
"","839","Complete Checkout","","Wed Aug 21 11:17:53 GMT 2024","passed","Wed Aug 21 11:17:54 GMT 2024","","SauceDemoTest","SauceDemoTest","Complete Checkout"
"","24","Verify Sum of Item Prices Matches The Total on The Checkout Overview Page","","Wed Aug 21 11:17:54 GMT 2024","passed","Wed Aug 21 11:17:54 GMT 2024","","SauceDemoTest","SauceDemoTest","Verify Sum of Item Prices Matches The Total on The Checkout Overview Page"
"","22","Complete Order and Verify Success","","Wed Aug 21 11:17:39 GMT 2024","passed","Wed Aug 21 11:17:39 GMT 2024","","PageObjectTest","PageObjectTest","Complete Order and Verify Success"
"","331","Adds the first three items to the cart and verifies the cart count","","Wed Aug 21 11:17:46 GMT 2024","passed","Wed Aug 21 11:17:47 GMT 2024","","SauceDemoTest","SauceDemoTest","Adds the first three items to the cart and verifies the cart count"
